Name,Notes
Quotidien,Liste de courses (https://www.notion.so/Liste-de-courses-3c0975b8c7954cee9bf0d684fbfb22ad?pvs=21)
Projets,Outil de gestion des idées (https://www.notion.so/Outil-de-gestion-des-id-es-0ef5d03a21fb4d8bb32036bf7d3cd4cd?pvs=21)
Etudes,Devoir GenAI (https://www.notion.so/Devoir-GenAI-827110a7b731461bb35ee5b62c0850ee?pvs=21)
Administratif,
Vie Sociale,
Vie Perso,"Rappel à passer

 (https://www.notion.so/Rappel-passer-2bc5d7b6f4804f18b25b83f6b25b2fde?pvs=21), Achat de produit personnel (https://www.notion.so/Achat-de-produit-personnel-3d1db5438c784f7fb32a4636c6e2c1ea?pvs=21)"
Sport,"Achat Masque de Natation (https://www.notion.so/Achat-Masque-de-Natation-abf8996d63904fb5bf5320c04824934b?pvs=21), Pratiquer la natation (https://www.notion.so/Pratiquer-la-natation-d74a2c8a69d3471b9c1afe05afe58a29?pvs=21)"
No Tag,